pool,designday,factor,year,estimate,estimate2
ATL,55,1.2596,2009,,
AUG,50,1.381,2009,,
BRU,48,0.993,2009,,
SNG,55,1.1489,2009,,
TRA,55,1.1457,2009,,
MAC,50,1.236,2009,,
ROM,57,1.1452,2009,,
SAV,50,1.2969,2009,,
VAL,45,1.1628,2009,,
ATL,55,1.2326,2010,,
AUG,50,1.3106,2010,,
BRU,48,1.034,2010,,
SNG,55,1.1088,2010,,
TRA,55,1.1051,2010,,
MAC,50,1.1943,2010,,
ROM,57,1.0949,2010,,
SAV,50,1.2793,2010,,
VAL,45,1.079,2010,,
ATL,55,1.2275,2011,,
AUG,50,1.3383,2011,,
BRU,48,0.9519,2011,,
SNG,55,1.1304,2011,,
TRA,55,1.14,2011,,
MAC,50,1.248,2011,,
ROM,57,1.1039,2011,,
SAV,50,1.2985,2011,,
VAL,45,1.0913,2011,,
ATL,55,1.2703,2012,,
AUG,50,1.499,2012,,
BRU,48,0.9212,2012,,
SNG,55,1.1732,2012,,
TRA,55,1.2057,2012,,
MAC,50,1.3466,2012,,
ROM,57,1.1935,2012,,
SAV,50,1.3899,2012,,
VAL,45,0.9636,2012,,
ATL,55,1.2411,2013,,
AUG,50,1.3728,2013,,
BRU,48,0.877,2013,,
SNG,55,1.1344,2013,,
TRA,55,1.1597,2013,,
MAC,50,1.3153,2013,,
ROM,57,1.1327,2013,,
SAV,50,1.33,2013,,
VAL,45,0.9794,2013,,
ATL,55,1.1982,2014,,
AUG,50,1.3466,2014,,
BRU,48,1.0464,2014,,
SNG,55,1.0581,2014,,
TRA,55,1.0882,2014,,
MAC,50,1.2776,2014,,
ROM,57,1.0862,2014,,
SAV,50,1.1995,2014,,
VAL,45,0.9769,2014,,
ATL,55,1.2021,2015,,
AUG,50,1.3731,2015,,
BRU,48,1.1292,2015,,
SNG,55,1.08,2015,,
TRA,55,1.1211,2015,,
MAC,50,1.308,2015,,
ROM,57,1.0604,2015,,
SAV,50,1.3014,2015,,
VAL,45,1.162,2015,,
ATL,55,1.1848,2016,,
AUG,50,1.3375,2016,,
BRU,48,1.1317,2016,,
SNG,55,1.0634,2016,,
TRA,55,1.0905,2016,,
MAC,50,1.2518,2016,,
ROM,57,1.0794,2016,,
SAV,50,1.2568,2016,,
VAL,45,1.1886,2016,,
ATL,55,1.2617,2017,,
AUG,50,1.2987,2017,,
BRU,48,1.054,2017,,
SNG,55,1.1546,2017,,
TRA,55,1.2324,2017,,
MAC,50,1.3218,2017,,
ROM,57,1.1691,2017,,
SAV,50,1.3493,2017,,
VAL,45,1.1991,2017,,
ATL,55,1.2182,2018,1.249060232,1.20176303
AUG,50,1.361,2018,1.302872963,1.265798644
BRU,48,1.2119,2018,1.204924646,1.177208906
SNG,55,1.0775,2018,1.109770088,1.051646418
TRA,55,1.1404,2018,1.116481617,1.097052439
MAC,50,1.2697,2018,1.299107817,1.236048691
ROM,57,1.0876,2018,1.091210897,1.026209151
SAV,50,1.2667,2018,1.271749339,1.307908653
VAL,45,1.2188,2018,1.247890746,1.335315822
ATL,55,,2019,1.221567,1.224582023
AUG,50,,2019,1.3324,1.357234365
BRU,48,,2019,1.132533,1.201381128
SNG,55,,2019,1.0985,1.085999644
TRA,55,,2019,1.154433,1.151858401
MAC,50,,2019,1.2811,1.275672523
ROM,57,,2019,1.112033,1.096180283
SAV,50,,2019,1.290933,1.274930325
VAL,45,,2019,1.202167,1.21900324
